review,rating
"Très belle image ,Netflix déjà installé",5.0
مرسي,5.0
شكرا جوميا,5.0
أنصح بشرائها,5.0
Rien tv de merde,5.0
تلفاز سيئ جدا جدا يقوم يحذف القنوات تلقائيا كل أسبوع لا أنصح بشرائه,1.0
مناسبة,4.0
Identique à l'annonce,5.0
Très bonne qualité de Vision,5.0
Bon qualité d image avec bon prix 9adya lgharad,5.0
Problème de recommandation,1.0
طلب جد جيد ورائع,5.0
Telecomande m5damch noglna hnaaya mchkil 9libt 3liha f souk nchriha mal9ithach kyan chi hal ??,2.0
Je suis satisfait,5.0
بصراحة تلفزة واعرة صوت وصورة مقارنة مع الماركات الأخرى شكرآ جوميا.,5.0
جربتها عجباتني انصح بها الجميع,5.0
"Téléviseur de moyenne gamme, il ne faut pas lui demander trop, mais vu le prix j'en ai fait l'acquisition.",3.0
Qualite meziana service exellant,5.0
"Très bon produit Très bonne qualité d'image et son Je vous le recommande , la livraison était très rapide, je suis très satisfait merci",5.0
Ca marché,4.0
Très bon produit rapport qualité prix,5.0
Tres bon rapport prix quality,5.0
La qualité est excellente,4.0
Excellent,5.0
SaraHa produits mafih mayteab bnisba l rapport l qualité prix 10/10,5.0
Sora mcha allah,5.0
1000/5,5.0
"Magnifique, merci beaucoup",5.0
"Working perfectly fine, ghir howa khfif bzaf",5.0
تلفاز به خلل,1.0
TV 32 BUY SAT,4.0
تلفاز صورة رديئة و صوت غير صافي جودة ضعيفة جدا,1.0
Le service et la rapidité de la livraison,5.0
Bon produit,4.0
L'antenne ne capte pas et ne tient pas en équilibre,4.0
Tv smart 32 android super avec un prix choc,5.0
Cool ????????,3.0
Très bien,5.0
جميلة جدا,5.0
مقبول عل العموم,5.0
Trés bon qualité,5.0
bonne affaire,5.0
Ca marche trés bien,5.0
Très bon produit Tant qu il marche il est excellent,5.0
Merci pour le service,5.0
Bien reçu en bon état,5.0
Bon produit,5.0
j'ai bien apprécie le produit,4.0
تلفزة مزويناش غير مقلدة,1.0
Excellent ???? qualité prix,5.0
لم تذكروا ثمن الشحن إلا عند إتمام الطلب المرجوا أن تكونوا أكثر تدقيقا و شفافية,4.0
"après 3 mois d utilisation, une tache est apparu sur l écran",1.0
bon qualite,4.0
J ai reçu ma commande MERCI,5.0
المنتج جيد جدا كشاشة عرض الصوت يحتاج تحسين اكتر,4.0
MZIANA,3.0
Qualité d'image et son parfaite par rapport au prix prévoir une box android pour plus de fun,5.0
Tv makatkhdimch jami3 l9anawat,4.0
fonctionne très bien,5.0
"Le son et l'image très clair, aussi les couleurs TNT et récepteur intégré il faut acheter un TV box c'est mieux",5.0
تلفاز رائع و ممتاز . صورة واضحة و صوت جيد ????????,5.0
"La TV marche très bien et la qualité des couleurs est superbe, je suis très satisfaite de cet achat !",5.0
الصوت زوين وعالي ولكن الصورة لا علاقة الألوان غير مشبعة,3.0
تلفاز جيد وصوت مرتفع,5.0
bon produit,4.0
La livraison gratuite et rapide,5.0
"Mauvaise qualité, il se bloque aussi Netflix ne marche pas reste bloqué je recommande pas",1.0
Rapport qualité-prix rien à dire,4.0
Après 2 mois d'utilisation il fonctionne très bien,5.0
على شركة المنتج أن تزودنا بخدمة play store وantivirus وتزيد من ذاكرة التخزين فهي غير كافية,5.0
Bon tv,5.0
Très satisfait comme dans l'article. Tout est bon. Je recommande. Qualité prix au top,5.0
تلفاز ممتاز بثمن مناسب يستحق الشراء,5.0
No sorry,3.0
Qualité prix rien à dire,5.0
Excellent product ... network card good .. fast shipping thanks Jumia thanks to seller to,5.0
جودة الصورة,3.0
كولشي فيه مزيان,5.0
Super TV. Très satisfait.... Merci JUMIA.,5.0
Super TV. Très satisfait.... Merci JUMIA.,5.0
oui top,5.0
"Je recommande la Tv Bysat franchement je voulais prendre mon temps à utiliser le produit avant de venir mettre le commentaire et je suis à 2mois d’utilisation,rien à dire très bonne qualité et mérite ⭐️⭐️⭐️⭐️⭐️",5.0
انا اسمي سعيد لم اخبر السيد اللدي سوف ياخد التلفاز ولكن بمجرد ان اشتريت التلفاز اتصلت به فاخبرني انه خارج المدينة في عطلة وعندما اتصلت بكم لتغير اسمه واضع اسم ثاني ليقوم بالمهمة قبل طلبي بالرفض بمعنى اخر لا يمكننا تغير ذالك الاسم الاول,3.0
top ca marche très bien,5.0
excellente,5.0
Je suis très content et j’ai beaucoup apprécié l’excellente tv et l’organisation de son envoi.très bon rapport qualité prix. Je commanderais certainement d’autres produits à l’avenir inchallah,5.0
"Très belle image ,Netflix déjà installé",5.0
مرسي,5.0
شكرا جوميا,5.0
أنصح بشرائها,5.0
Rien tv de merde,5.0
تلفاز سيئ جدا جدا يقوم يحذف القنوات تلقائيا كل أسبوع لا أنصح بشرائه,1.0
مناسبة,4.0
Identique à l'annonce,5.0
Très bonne qualité de Vision,5.0
Bon qualité d image avec bon prix 9adya lgharad,5.0
Problème de recommandation,1.0
طلب جد جيد ورائع,5.0
Telecomande m5damch noglna hnaaya mchkil 9libt 3liha f souk nchriha mal9ithach kyan chi hal ??,2.0
Je suis satisfait,5.0
بصراحة تلفزة واعرة صوت وصورة مقارنة مع الماركات الأخرى شكرآ جوميا.,5.0
جربتها عجباتني انصح بها الجميع,5.0
"Téléviseur de moyenne gamme, il ne faut pas lui demander trop, mais vu le prix j'en ai fait l'acquisition.",3.0
Qualite meziana service exellant,5.0
"Très bon produit Très bonne qualité d'image et son Je vous le recommande , la livraison était très rapide, je suis très satisfait merci",5.0
Ca marché,4.0
Très bon produit rapport qualité prix,5.0
Tres bon rapport prix quality,5.0
La qualité est excellente,4.0
Excellent,5.0
SaraHa produits mafih mayteab bnisba l rapport l qualité prix 10/10,5.0
Sora mcha allah,5.0
1000/5,5.0
"Magnifique, merci beaucoup",5.0
"Working perfectly fine, ghir howa khfif bzaf",5.0
تلفاز به خلل,1.0
TV 32 BUY SAT,4.0
تلفاز صورة رديئة و صوت غير صافي جودة ضعيفة جدا,1.0
Le service et la rapidité de la livraison,5.0
Bon produit,4.0
L'antenne ne capte pas et ne tient pas en équilibre,4.0
Tv smart 32 android super avec un prix choc,5.0
Cool ????????,3.0
Très bien,5.0
جميلة جدا,5.0
مقبول عل العموم,5.0
Trés bon qualité,5.0
bonne affaire,5.0
Ca marche trés bien,5.0
Très bon produit Tant qu il marche il est excellent,5.0
Bonne qualité paraport prix,5.0
Pas mal,3.0
"Rien à dire pour le prix, fait le job.",5.0
"Meilleur qualité, très bon produit l’image et trop claire top.",5.0
Merci pour la televisión,5.0
احسن تلفاز فهاد الفئة السعرية,5.0
جيد بالنسبة للثمن.,5.0
Pas mal,4.0
تلفاز رائع بالمقارنة بالثمن,5.0
Rapport qualité prix,5.0
Pas cher et ça marche bien livraison rapide merci jumia,4.0
Sora wsawt mzian,5.0
Booo,5.0
I use it for game consoles and it's great,4.0
Ok ???? ok,3.0
كاميرة زوينا ونفعاتني مني كنكون فلخدما وحاضيا دار فلول معرفتش ليها دخلت يوتيوب كتبت سمية أبليكاسيو وعاد خدمات ليا شكرا جيميا,5.0
Zwina bzf,5.0
"Multiple couleurs et modes (duo couleurs, dégradé lumières, sirène police, etc . ...)",5.0
can't fix smartphone on ring (missing part),4.0
50 في المئة من المصابيح لا تعمل Half of the light ring does not light on when you switch to RGB mode,2.0
"Livraison rapide, zwiina w khdaama mzyaaan",5.0
Nice delivery service and good product,5.0
Lui associer un adapter secteur adéquat,4.0
Excellent,5.0
Très bon chargeur.,5.0
charge un peu lente mais fait le taff,3.0
Très bon rapport qualité prix,5.0
منتوج رائع يقوم بشحن %100 ولديه أربعة أماكن للشحن,5.0
Juste dommage qu'il y est pas la lumière qui change pour indiqué que la charge est terminé,5.0
bon produit. Prix raisonnable. seul hic peu rapide.,4.0
"Very good quality, i recommend",5.0
المشكل في التوصيل لا تحترمون الوقت,4.0
منتوج راءع جدا شكرا حوميا,5.0
Pas mal jusqu'aujourd'hui,4.0
Khdama mlih,5.0
"L'expérience était bonne, un produit similaire était défectueux, le retour a été fait dans les meilleurs conditions, l'avoir affecté... la gestion ou l'utilisation de l'appli est confortable Merci Jumia Merci à toute l'équipe",4.0
Good item,5.0
Pratique .,3.0
NADI OU BZAF HHHH,4.0
ce télescope ne dispose pas de vue nocturne,1.0
"Installation facile, tres pratique et qualité au top",5.0
Incroyable la caméra,5.0
"Bon produit, la camera fonctionne bien, bon rapport qualité/prix.",5.0
Clairr image mais pas grand angle,5.0
Fait bien son travail,5.0
Yes satisfait du produit,5.0
Meilleur camera de surveillance,5.0
"Ce n’est pas le modèle présenté , mais une ancienne version de la cam .",2.0
très bien fais le travail,5.0
La marque xiaomi top du top,5.0
Mhersa men wa7d rjel c dmg,2.0
"I like the build of the tripod. However, the Ring light isn't up to expectations. It's barely lighting up a small area. I recommend going for other options in the market as you can purchase the tripod alone and pick a good ring light later.",3.0
"Rien à dire, il fait le travail correctement ????",5.0
j'aime mais il s'est quand meme cassé à la 2eme utilisation,3.0
Pratique pour la prise fixe de photos à partir du portable.,4.0
Satisfait,3.0
"ne tient pas le téléphone, la led ne tient pas en place... en gros c'était direct la poubelle",1.0
lumineux mais un peu petit,4.0
Très bon article,5.0
Nice quality product for the price,4.0
Ça marche très bien,5.0
جودة ضعيفة، لا انصج باش تابع,2.0
Ne marche pas du tout,1.0
لاباس به,2.0
سيء لا أنصح بشراءه ابدا,1.0
Mauvaise qualité ca marche pas,1.0
صوت أحسن من السماعات,5.0
Ça fonctionne avec le téléphone mais le matériel très mauvaise qualité,3.0
Faible son,1.0
"J'aile tres bien le produits , très bon rapport qualité prix",5.0
bon produit,5.0
"Gran calidad de imagen, materiales sólidos, buen soporte en la app..",5.0
Excellente,5.0
"Elle est bien, mais sans alimentation. Il faudra vous procurer un chargeur USB 2A auparavant.",3.0
Tel que le descriptif avec une bonne résolution je recommande,5.0
"Qualité produit, image et angle de vue : laisse à désirer",3.0
"très bon son, bonne qualité",5.0
"Trés bon produit,le son est tres bon. Cepandant le bouton mute ne marche pas tres bien",4.0
"Un bon produit le son est agreable ,tout les buton fonction bien , just le button mute lorsque je click il ne marche pas .",4.0
ثمن مناسب صوت رائع ونقي وبه ميزات جميلة,5.0
Really like this microphone it's affordable and has good quality!,5.0
micro zwine sot n9i wl prix monassib,4.0
c'est un bon produit et c'est ma premiere experience avec jumia tout est parfait j'encourage la livraison directe c'est professionnelle au lieu du point de relai le mic et parfait le package est excelent je recommande ce vendeur et ce mic et moins cher que chez aliexpress merci jumia..,5.0
ميكروفون ذو جودة رااااائعة بالمقارنة مع ثمنه شكراااااا Best Service,5.0
Bon % qualité/ prix,5.0
انصح بشراء المنتج جودة الصوت جيدة ورائعة,5.0
only one prob it's about the support too smalle the pric is good,4.0
"Pour le prix ça va. Les jambes sont très légères donc il masque un peu d'équilibre. Or, très satisfaits.",4.0
"rapport prix/qualité très satisfaisant , il donne des bonne résultats, tripiers stable à 80% , facile à monter, ( 8.5/10)",4.0
Produit conforme c’est juste que y’a pas de trépied pour les lumières juste deux trépieds pour l’appareil photo que j’ai reçu,4.0
Mabihch,5.0
Le micro ne fonctionne pas.,1.0
الطول لا بأس به,4.0
c'est pas le produit est bien,5.0
"Bien, comme à la description",5.0
لا يعمل مع الحاسوب بشكل جيد,3.0
Ce produit est vraiment incroyable le son est magnifique et on entend bien la voix,5.0
صوت لا علاقة,1.0
Je l’ai testé et le son est agréable à l’oreille,5.0
Mauvaise qualité,1.0
Bien merci,5.0
Bien je recommande,4.0
Pratique,5.0
Excellent marche à merveille,5.0
Practico funciuna bien,5.0
bon produit,5.0
"Je l'adore, plug and play, je n'ai pas eu la moindre calibration à faire! Je l'adore!",5.0
Bon prix,5.0
"The voice clarity is not the best, it's just enough.",4.0
جودة جيدة ، ثمن مناسب ـ توصيل جيد، العملية كانت سلسة وجيدة شكرا لكم,4.0
Le microphone est de très bonne qualité et la livraison était rapide et j'ai reçu tout les composants affichés dans l'image,5.0
جيد,4.0
très faible,1.0
Le service,5.0
معدل سرعه توصيل الطلب: جد متوسط,3.0
Well i was expecting tji m3a support dialha but...,4.0
Merci je recommande ce produit,4.0
توصيل سريع. وثمن مناسب,4.0
C très bien,5.0
جيد جدا,5.0
Bon,5.0
الصوت ضغيف مع ضجيج,3.0
كارط سون معرفتش صوت فيها ناقص معرفتش كيفاش نزيد فيه,3.0
منتوج جيد جدا,5.0
Déjà c'est le BM 800 générique. Le pack correspond à la description il y a tous les composantes qui sont affichés sur l'image du produit. J'ai testé les quatre micros que j'avais commandé j'ai pas utilisé la carte sans ajouter au pack mais j'ai utilisé une carte son professionnelle Scarlett duo 3e génération j'ai activé activer la tension fantôme 45 v. Le micro a réagis bien la sensibilité est impeccable . Pour avoir les bonnes performances du micro il faut toujours utiliser l'alimentation fantôme. La livraison a été ultra rapide j'ai commandé le vendredi j'ai reçu le samedi matin. Bon produit merci,3.0
Sa marche bien,5.0
j adore li kayn f tswira kayn vrai b stand b kolchi ghir la carte sons li m3ah makhdamach ou khadk darori carte sons 48v bach ikhdm lmic b qualite zwina,5.0
Le son n’est pas assez fort et si vous parlez à des gens avec ils vont entendront avec un volume très bas !,2.0
Kollchi Kima F La Photo 4i La Carte Son S4ira USB Fiha Sda3 Bzzzf. 4atkhass Had Mic Carte Son Scarlett Ola Khedmo Nichan M3a PC Kaykhedam. Chokran La Livraison F Lwa9et.,4.0
"Rien a redire, bonne qualité lorsque l'on sait s'en servir",4.0
MIC WA3R BZAAAF KATJI M3AH HTA CART SON SGHIRA SOUT WAD7 W ZWIIN,5.0
صورة جميلة,5.0
لابد من أن تكون الغرفة مظلمة للحصول على صورة حسنة,4.0
صوة المروحة جد مزعج صوت المروحة جد مزعج,3.0
Sauf le bruit un peu fort,4.0
Bon rapport qualité prix,5.0
انصح به,5.0
أريد تغيير المنتج لأنه لم يتوافق مع الغاية من طلبي,2.0
I like it good quality ????,4.0
"Très bon videoprojecteur Excellent rapport qualité/prix . Pour avoir une bonne qualité d'image , soit branchez votre récepteur iptv ou pc portable via câble hdmi soit une clé usb avec des films de bonne qualité. Livraison rapide et livreur très sympathique. Merci",5.0
كل شي فيه ممتاز,4.0
"Calité d'image excellente,luminosité suffisante, très bon contraste (il faut utiliser un vrai écran éviter les tissus blancs)",5.0
جيد,4.0
Le micro doit être débranché et branché 10 ou 15 fois pour être détecté. J'ai gardé le produit juste parce que j'avais besoin du stand et j'ai déjà un ancien micro qui a plus de 10 ans et qui marche très bien.,2.0
produite parfait et la livraison très rapide vraiment y'a on a rien a dire,5.0
Il fait le job. Ce n'est pas de bonne qualité mais rapport qualité prix OK.,4.0
غير كذوب هادشي,1.0
N’a pas marché,1.0
Les touches ne fonctionnent pas sur la télé,1.0
Fonction souris marche très bien mais les touches et la réponse télécommande télé long qcq seconde des bugs.. Malheureusement,2.0
المنتج جيد جدا لكن العنوان و الوصف يوضح أن الجهاز يتضمن خاصية البحث بالصوت لكن ما توصلت به ليس به خاصية البحث بالصوت، و لم أشأ إرجاع المنتج لكي لا يغرم البائع، و أتمنى أن ينتبه لهذا الأمر. شكرا.,3.0
Good product,4.0
Une télécommande qui fonctionne bien mais ça se bloque parfois,3.0
Bon produit.,4.0
Qualiter top dès top son la charge Y,5.0
زوينة تستاهل,5.0
دغيا خصرات,1.0
Bien bien,5.0
ça marche bien.,5.0
merci jumia,5.0
Bonne luminosité et légère,5.0
"I love the quality!! Grab your Hunter licence, without the hustle. Good quality card",5.0
أضاءة ممتازة لاكن مع الوقت لا تستطيع تتبيتها,3.0
Très bon éclairage produit de bonne qualité j'ai juste du mal à l'accrocher sur une table complètement carré sans extrémités. J'aurai aimé aussi que ça se charge mais il faut le brancher tout le temps à un chargeur comme tous les ring light il faut prévoir une prise à côté de l'endroit où vous allez filmer,4.0
Bonne qualité,3.0
I love it,5.0
الشيء الوحيد الذي ليس جيد بالمتج كونه يتوفر على كابل usb قصير لو كان شاحن و كبل طويل سيكون افضل,3.0
Mais avec la 3g on ne peut pas parler au micro,5.0
Je viens de l'installer ça marche bien,5.0
طلبته ولازال عندي الحمد لله أصبحت مطمئنة اكثر لأني أراقب منزلي عن بعد,5.0
Excellent produit,5.0
problèmes d'emballage,3.0
Top bien,3.0
Rapidité de livraison,5.0
Bn rapport prix qualité. N'ayant pas une bonne qualité et solidité du matériel mais c'est pratique pour les petits budgets.,4.0
منتج قوي وعملي ، أفضل سعر في السوق الوطنية والدولية Robust and practical product. Best price on the national and international market. Produit robuste et pratique.Meilleur prix sur le marche national et international.,4.0
"Marche bien, en vu du prix faut pas s attendre a des merveilles, je suis content. Même si les touches sont très dure, il faut appuyer fort même forcer pour que ça marche.",3.0
جودة رديئة,1.0
excellent,5.0
بالنسبة لي انا اعتمد كثيرا علي هدالجهاز g10 الانه صغير الحجم و سريع و فيه كل ما احتاجه من جهاز التحكم,5.0
"Le produit fonctionne parfaitement. Je l'utilise dans mes presantation, et aussi quand je regarde quelques chose sur mon ordi. Je recommande !!",5.0
شكرا جوميا خدمة التوصيل ممتازة و المنتوجات ذات جودة عالية ????????????????????????????????,5.0
Pas très compatible avec la Xiaomi Mi Box TV S,2.0
مشي شي حاجه,3.0
رائعة شكرا,5.0
منتوج رائع.. شكرااا,5.0
A achete si besoin,5.0
Assez pratique,4.0
impeccable,5.0
Pas du tout solide,3.0
منتوج جيد,5.0
"Rien à voir avec la description donner sur le site,le trépied fait à peine 1m, et tient pas debout...pense que je vais le retourner",1.0
Triped qualite na9sa,1.0
كون غير كان الكابل ديال الشحن طويل شوية كان غايكون حسن!!,5.0
خدمتها مدة طويلة صورت بيها مكتسخنش عندها 3 الوان مختلفة تقدر تركبها فاي منفذ USB تقدر تغير ليها الشكل او طول على حسب الرغبة,5.0
نقص التمن,4.0
Mziwna dit 2 la 2eme ring light mafihaxi ga3 accesoire dyal tilifon,5.0
Tres bon produit.,5.0
Bon rapport qualité prix,5.0
"le produit est conforme à la description . Bon etat . Bonne qualité . Satisfait du produit . Merci , jumia",5.0
Tout fonctionne très bien et cela facilite la vie,5.0
Une excellente mise à niveau avec Android 9 et une fonction miracast qui fonctionne avec tous mes téléphones sans fil,5.0
جهاز جمييل شكلا و مضمونا. شكراا,5.0
It gets the job done but the material quality isn't great it's a bit fragile but considering its price it's acceptable,3.0
Merci beaucoup,5.0
Nulll,1.0
produit zwin o nadii canadii,5.0
مصباح جميل,4.0
Pour le prix ca peut aller... moi qui le voulait pour parler avec des gens le micro ne fonctionne même pas je déconseille,2.0
Pas mal,3.0
n'a pas fonctionnė sur mon PC.,3.0
J aime bien livraison en 2 jour a Kenitra,5.0
bonjour j'ai adore ce produit c juste magnifique,5.0
منتوج جيد,5.0
nul nul,1.0
أعجبني هذا المنتج ❤,4.0
excellent produit,5.0
"La qualité de son est clair, et ça marche bien avec smartphone comme sur PC!",5.0
Fragile et manque de support téléphone du tripied,3.0
Produit correspond a mes attentes,5.0
J'ai changé mon micro pour l'achat de ce micro et je doit dire qu'il et bien mieux que l'un des micro casque que j'avais.,5.0
"Très mauvaise qualité, ne marche pas du tout…",1.0
"Même si le bout de papier fourni n'explique pas bien comment programmer la clé, finalement ça a marché",5.0
excellent,5.0
"Produit excellent, marche sans problèmes",5.0
Ça marche à merveille,5.0
على العموم قاضي الغرض,4.0
Bon produit,5.0
يعمل حيدا,5.0
Bon produit. Fonctionne bien.,5.0
produit ne fonctionne pas,1.0
Excelent rapport qualité/prix,5.0
Pas mal de bugs.,3.0
Conforme aux attentes,5.0
pas mal,3.0
Je la recommande vivement,5.0
Le produit est bon pour téléphone smartphone,4.0
منتج مطابق و جودة ممتازة مقارنة بالسعر,5.0
رائعة جدا,5.0
كين ما حسن منو ولكن قادي الغرض,3.0
Un très bon micro avec une résolution modérée mais efficace pour l'enregistrement du son.,5.0
J ai pas reçu le couteau multifonctions,5.0
سيء جدا,1.0
الحامل ديال الهاتف ما صالح لوالو نهائيا. و الضو ضعيف غير كافي. ترايبود مزيانة ما عندي ما نقول عليها,2.0
Très jolie,3.0
I liked it,5.0
"J'aime beaucoup ce produit! Photo conforme au trémied, et prix correcte! J'ai mis 4 étoiles car il pourrait y avoir des améliorations. Trés bon trépied, je recommende!",4.0
"j'aime bien, merci.",4.0
J'adore et c'est exactement à la hauteur de mes attentes !,5.0
pas mal,3.0
ميكروفون جيد أعجبني يصفي الصوت,5.0
منتوج رديء جدا لايستحق 0 درهم,1.0
C'est trop bon,5.0
جميل جدا,5.0
tres bon,5.0
En periode de confinement ce micro est très utile,5.0
جيد جدا,5.0
Good good,5.0
Bn produit je recommande,5.0
satisfait du produit fonctionne très bien.,5.0
"Produit correcte par rapport aux prix, il faut juste préciser qu'il ne s'agit pas d'un produit original mais uniquement un copie à l'original ...",4.0
"Produit qui fait le job, mais la qualité de la structure est faible",3.0
je n'ai pas testé la 4k mais en FHD ca marche bien et ca semble de bonne facture,5.0
ممتاز و رائع والجميل أنه لا يحتاج لكارت صوت اضافية لانه يتوفر على كارت صوت داخلية,5.0
"Ça ne marche pas, Une pure perte d’argent",1.0
L'audio est bas,3.0
ne tiens pas la charge pour assez de temps pas plus que 2/3 hrs mais en general passable,3.0
J'aime ????,5.0
"Pour le moment, il fonctionne bien",4.0
j'adooore,5.0
,3.0
Le rapport qualité prix est excellent,5.0
Bonne qualité je recommande,4.0
j'adore,5.0
"Zwin kaysama3 mzzn ou prix mounasib bzzf Lmochkil lil9it: ila matal9ch lmousi9a oula chi haja, katab9a yatasma3 b7al wa7ed tchach khfif But still would recommend it",4.0
Mérite son prix,5.0
bon bon,5.0
"Appareil répondant à mes attentes. Beau design. Un léger défaut, la difficulté à monter le son sur certains média.",5.0
"Le produit est parfait, il est exactement comme décrit, merci Jumia",5.0
Livraison rapide et très beau produit,5.0
"Bof, pas terrible comme article, lumière peu intense",3.0
في وصف المنتج تجد قطره بطول 33 سنتيمتر لكن عند شرائه تتفاجئ أن قطره هو 26 سنتيمتر فقط,2.0
Fonctionne très bien comme l original ????,5.0
Je recommande,5.0
Pas en core utilisé,5.0
Très insatisfait,1.0
5admatte 1 jour manba3de msha swatte .. design mafrouche ... éclairage trop faible,1.0
Util et fiable,5.0
Bon produit je le recommande,5.0
Nice and easy to use,5.0
PAS CMME INDUQUEE AU VEDIO DE LA PUB,1.0
كله تمام الحمد لله,5.0
كله تمام الحمد لله,5.0
J'aime,5.0
مقبول,3.0
Tres utile et pratique,5.0
Utilisé une fois et il s’est cassé,1.0
Bon qualité,4.0
"Très bon produit, je recommande",5.0
qualité mzyana,4.0
Il faut avoir un appareil avec codage special,1.0
Ça marche bien,5.0
Se décharge rapidement,3.0
Pas bien pas mal,2.0
Produit normal.,4.0
ça marche,5.0
بدون علبة مستشعر غير مضبوط,1.0
good remote works fine even the voice with backlight white thanks seller thanks jumia,5.0
Tres receptive avec la box en plus du retroeclairage,5.0
Ça marche très bien.,5.0
Il marche bien,4.0
Katakol l7jar,4.0
Voici ne marche pas,1.0
شكرا لكم,5.0
Vitesse de son travail,5.0
efficace,5.0
لائق جدا,5.0
Compatible bon produit.,5.0
Telecomande infrarouge fonctionne parfaitement avec samsung smart tv,5.0
"A priori ça marche correctement mais les batteries se vident rapidement. J'ai changé de batteries, le problème persiste. J'en ai acheté deux, et les deux ont le même problème.",1.0
N'a pas fonctionné sur ma TV Samsung.,1.0
Les touches de volume ne marche pas très bien mais le reste est vraiment top qualité,3.0
Bzzz Bzzz,1.0
Nice product,4.0
Ça marche bien on dirait!,4.0
ca marche,5.0
Produit de trés bonne qualité *****,5.0
الناس لي باغين يبداو ب شي حاجة بسيطة ة الصراحة الكاليطي متناصقة مع الثمن ماشي شي حااجة واعرة و مشي شي حاجة خايبا ة حيت الثمن الاصلي جيالهوم كايوصل حتا 20 الف و هادي ب 100 درهم راه قاضية غرض ل حد كبير .,4.0
"kon kant gha chwiya dl qualité , 1 - téléphone makilssa9ch mzn i9dr iti7e o itharass / 2 - dakchi 3la seba kitfartat hhhh vissat lass9ine gha brda dl walidine / 3 - wa7d visse mab9ach ga3e bgha idor t fora mab9itch kan9edar newa9fha fl maximum dl 3lo , mohim dik 80 dh diyal plasstic o livraison makanss7ch biha",1.0
الشكل واللون,5.0
Wa zbi khdma tzb,1.0
Bon produit,5.0
Rien à signaler,5.0
ممتاز جدا .Fonctionne très bien.,5.0
Un très bon produit de la société phare Xiaomi L'appareil est dans sa boite neuve. Merci Jumia,5.0
Très bien,5.0
Je trouve que c'est trés efficace pour les selfies et les vidéos,5.0
ضوء خافت و خيط التركيب جدااا قصيييير لا تستحقق ابدا الثمن,2.0
"La lampe est faible, le support télé est cassé dès la première utilisation, et le tripode ne dépasse même pas 1M.",1.0
زوينةبزاف تستاهل,5.0
Très bonne qualité,5.0
Bon rapport qualité prix,5.0
خدمة البائع وسرعة إرساله للمنتوج شيء مميز يشرفني أن أتعامل معه مرة أخرى,5.0
Je recommande!,5.0
Super ! Marche bien,5.0
Conforme,5.0
PAS MAL PAR RAPPORT AU PRIX,4.0
جودة وثمن جيد وتوصيل سريع,5.0
Working fine,5.0
Le bouton power ne marche pas,3.0
Livraison rapide & commande extra....,5.0
جهاز تحكم رائع، مع إمكانية التحكم في الماوس بشكل رهيب وقوة الاتصال بالجهاز ممتازة. الجهاز يشتغل عندي بشكل جيد مع TV BOX وكذلك مع الكمبيوتر ويندوز,5.0
Telecomande fonctionnelle et très rapide. Je teins à remercie le livreur qui est très sympa,5.0
Voix et souris pro pour les box tv,4.0
Bien mais fragile,3.0
telecommande marche très bien,5.0
nice item for watching tv and streaming,5.0
Good. Product,5.0
not very effective,2.0
منتج دو جودة جيدة وممتاز انصح الجميع بشرائه مشكل الوحيد ليس دو تقريب خارق انما في المستوى والحودة عالية,5.0
tres bonne qualite,5.0
Rien à dire,5.0
10/10 Très bon produit,5.0
Bon pour le moment depuis j essaye de monter sa je réussis mais dès que je branche mon phone je ne sais pas le problème vient du phone ou du ring puis je avoir de l aide c est un iPhone mais honnêtement les lumières sont puissante j ai vraiment aimé,4.0
Zuina bzzaf wafiha daw mjhad ana 3ajbatni khososan hajme dyalha kbir,5.0
منتوج يباع ناقص اهم قطعة(الفاتر) لم اتوصل به ، لم يعجبني على الاطلاق هذا الامر .,1.0
bon produit // qualité prix toppp,5.0
C'est ma deuxième commande je suis satisfait le produit est correct bon rapport qualité-prix,5.0
Le réflecteur de lumière soft box ok ça marche. Mais le support est cassé c'est vraiment décevant. Il manque la pièce la plus importante. Le pire c'est que je l'ai ouvert après les 7 jours car j'étais en voyage donc je n'est même pas droit au retour. je suis obligé d'en racheter un autre. Vous perdez de votre crédibilité si vous envoyez des objets cassés à vos clients. Jamais je ne rachèterai quoi que ce soit de cette boutique car je n'est plus confiance.,1.0
Merci pour l'équipe JUMIA pour ce produit et pour la livraison à la date ext .. merci encore fois.,5.0
Good quality good price,5.0
"Bien livré, très bonne qualité",5.0
Soft box 9adi lik gharad mzn ila knty yalah badi,4.0
"bon rapport qualité/prix, je recommande pour un débutant.",4.0
سماعات 10 دراهم احسن منهم,1.0
Excellent,5.0
mauvaise qualité,1.0
mal,1.0
"Le son enregistré n’est pas ouf, on parvient pas à écouter si c’est branché",2.0
"Très bon produit , très satisfaisant",5.0
Produit en plastique ( couleur alluminium) mais c. bon,4.0
Pas mal,3.0
وصلني المنتج قبل الوقت المحدد ................ بالنسبة للجودة جيدة والثمن ايضا جيد وفي المتناول,5.0
bon produit,5.0
"Livré en parfait état, facile à monté et utilisé mais il est fragile.",4.0
pas mal mais fragile,3.0
Si c'était plus solide sa aurait été mieu,3.0
"Zwin wkhdam mzyan , je recommande????????",5.0
Pas la qualité que je voulais mais c'est acceptable,3.0
"livraison 5/5 , le livreur est très gentil Trépied zwina w khadama mzian .... Merci Jumia ... je recommande .",5.0
