cleaned_review,rating,sentiment
Hsn jd tmn mnsb,5.0,positive
zawina bazef lah yaatikom saha,5.0,positive
sot n9i lmic li xwia na9s,4.0,positive
casque nadi zwin i sot n9i o mzn o mic ta3o n9i o masmo3 kansah bih adrare merci jumia,5.0,positive
wallah ta nadi,5.0,positive
wa5a l9ito brown switch mss rah zwine wlkin mam3ahch stickers,4.0,positive
`mlb@ wmfyd@ wtshl lHfD,5.0,positive
jmyyyyyyl,5.0,positive
magnifique clavier 55,5.0,positive
tres bon clavier compare a son prix,5.0,positive
wllh fDl kybwrd bhd ltmn nSHkm,5.0,positive
bon clavier,5.0,positive
service nadi,5.0,positive
service nadi,5.0,positive
merci jumia,5.0,positive
ne glisse pas,4.0,positive
chwia r9i9a,4.0,positive
zwina katslah rir xi anwa3 dyal souris maxi kolhomm,3.0,positive
tfy blfrD,5.0,positive
vide,1.0,negative
bien,5.0,positive
excellent produit,5.0,positive
vraiment cest super,5.0,positive
professionnel,5.0,positive
rah mafihax monitor mode wmostahil t5dmo,1.0,negative
mabihax katxad bhal wifi adapter dyal 40dh gi kaliti dyalha we dikor lzwin,5.0,positive
ca marche wakha t3etelto 3lina chouiya machi mouchkil,3.0,positive
goodz,5.0,positive
la carte reseau hiya hadik khddama mzyana,4.0,positive
cest top,5.0,positive
bae okkkkkkkkkkkkkkkk,4.0,positive
niceeeeee,5.0,positive
jyd mmtz,5.0,positive
authentique,4.0,positive
merciii,5.0,positive
clavi nadya bjhd,5.0,positive
super,5.0,positive
je recommande,4.0,positive
excellent produit,5.0,positive
mezian mais msawb mn plastic machi 7did li bghah 7did y9lb 3la 7aja okhra ms capacity o la marque hiya hiya,4.0,positive
khdama mzyan ms ktl3 liha 7arara mara mara,5.0,positive
gg,5.0,positive
mabihch,3.0,positive
casque zwin o 3jbni sot n9i o mzn o mic ta3o n9i o masmo3 mzn li b9a kasque r5os o mlih ri ixri hada saraha,5.0,positive
wach mic kaykon hakak ola kaykhrj 7it mab4ach ikhrj liya,5.0,positive
jaime,5.0,positive
dayz,5.0,positive
souris mzwra,1.0,negative
produit saraha nadi botonat nadiyin w fih dwaw bhela f chi boite de nuit b rojola li sybo matloub 7ay aw mayit,5.0,positive
merci i,5.0,positive
prix correct,5.0,positive
kiched la charge,5.0,positive
zwin bzaaaaaf,5.0,positive
zwiiiin,5.0,positive
nulle,1.0,negative
prix correct,5.0,positive
je recommande,4.0,positive
mmtz,5.0,positive
Hsn jd,5.0,positive
b's,3.0,positive
jyd jyd,5.0,positive
gooood,4.0,positive
good,4.0,positive
b's,3.0,positive
jyd jyd,5.0,positive
gooood,4.0,positive
good,4.0,positive
ila be3edt eliha shwia makatb9ach tcapter mzyan wfiha lumiere zer9a kaderangi f dlam sinon produit mzyan par rapport au prix,4.0,positive
makaykhdmch dima khsk tb9a dekhlo et tkhrrjo bach 3llah ikhdem,2.0,negative
nadya 100,3.0,positive
pratique,5.0,positive
jadore,5.0,positive
superbe,5.0,positive
trop belle,5.0,positive
mon fils adore,5.0,positive
qualite bon et grande tille,5.0,positive
as described good,5.0,positive
Hsn jwd@,2.0,negative
vraiment cest top,5.0,positive
khdm@ nqy@ wSl mGlf mzyn jwd@ mmtz@ lshHn sry` Htrfy ry'` jd,5.0,positive
wa3ra kansa7 bhad tbila,5.0,positive
pas mal,4.0,positive
mouse mzyana wlkin lkabli dyalha 5yb w9sir,3.0,positive
kolchi,5.0,positive
tro bi1,5.0,positive
machi kima bane liya f tsawere khososan clavier,1.0,negative
parfait,1.0,negative
mtmsh,1.0,negative
pas mal,5.0,positive
bon etat merci,5.0,positive
qualite mzyana diyal clavie ou hta souris,4.0,positive
ca va,5.0,positive
jaime,5.0,positive
ry'` tstHq,4.0,positive
je recommande,5.0,positive
excellent produit,5.0,positive
dkchi nadi,5.0,positive
dkchi nadi,5.0,positive
ram,5.0,positive
nice gadget,4.0,positive
pas stable kaydeconnrecta dema,1.0,negative
khdam mazyane mal9it ta mouchkile khdmt bih lclavier ou la souris ole casque,5.0,positive
super produit,5.0,positive
ne sert a rien,1.0,negative
ne connecte pas le hdmi,1.0,negative
ok pour le produit,5.0,positive
pas mal,4.0,positive
magnifique,5.0,positive
magnifique,5.0,positive
1,5.0,positive
pratique,5.0,positive
jaime,3.0,positive
produit parfait,4.0,positive
y,4.0,positive
toop bnsba l taman zwin sot mssafi,5.0,positive
zwiiina,3.0,positive
bien,3.0,positive
fih sot nadi w microphone nadi,5.0,positive
casque zwin merci jumia,4.0,positive
je recommande,5.0,positive
bien,3.0,positive
anaha nadia,5.0,positive
okeyok,3.0,positive
khadamin mzn merci,5.0,positive
conforme,5.0,positive
khedam,5.0,positive
bon article merci,5.0,positive
long et bon,5.0,positive
parfait,5.0,positive
bon toner,4.0,positive
bnsba l qualite priix rah mzyan dyal bsseh,5.0,positive
sot dialo hrban o quality dial l mic nadia,5.0,positive
o houwa kbir xwiya maxi fif tswira,5.0,positive
casque zwin bnisba ltamano gha howa kayskhon lax3alty rgb,5.0,positive
zwin wsafi yah,3.0,positive
khdam nichan f windows 10,5.0,positive
le produit fonctionne tres bien,4.0,positive
top,5.0,positive
thmn mnsb,5.0,positive
merci,5.0,positive
top,5.0,positive
merci jumia,5.0,positive
tres biennnnn,5.0,positive
9adi lgharad,5.0,positive
identique,3.0,positive
usb 2,3.0,positive
pas mal,3.0,positive
mmtz jd,5.0,positive
parfait,5.0,positive
simple et efficace,5.0,positive
parfait,5.0,positive
28gb not 32gb,4.0,positive
khdm mzyn,5.0,positive
livraison,5.0,positive
conforme,5.0,positive
pas grand chose,3.0,positive
jaime,5.0,positive
saraha wa3ra mrtaha f lid design dl fou9 zwin jnab pas mal dayrin wahd lmateriau pas mal en fait kima katban f tswira saraha,5.0,positive
merci ggg,5.0,positive
nickel,5.0,positive
r` jd,5.0,positive
belle,5.0,positive
ma bihach,4.0,positive
compare with the price,5.0,positive
efficace,5.0,positive
khdam mzyan,5.0,positive
jyd jd,5.0,positive
tasswira tatban suppora mazyana aliminium oumsiftli ana plastik mathaz ta tablit b9a ra lpc portable,1.0,negative
khfifa nadia,4.0,positive
chi logiciel ola chi tari9a bach tfi lighting dyl souris,4.0,positive
waa3rin bjouj claiver et la souris,5.0,positive
khedam w qualite moyen dyal had taman,3.0,positive
wSlny mhrs,1.0,negative
merci jumia,5.0,positive
mmtz@ wtd`m trdd 5 jyjhyrtz,5.0,positive
la roulette ne marche plus,2.0,negative
jadore,5.0,positive
mzn,5.0,positive
zwina pratique w bhal photo nit,5.0,positive
pratique,4.0,positive
chargeur n9i clean lakin maki charjich fast,5.0,positive
genial,5.0,positive
ok ras,4.0,positive
bad qualite,1.0,negative
lamcha tatza3za3 rachwiya kaymchi sora,3.0,positive
good is nice for kali or parrot,4.0,positive
ok,4.0,positive
9biha,5.0,positive
nadya,5.0,positive
fonctionne parfaitement,5.0,positive
perfect mouse original indeed drari ti9a oullah haja zwina bzf katchide charge bzaf ou bleutooth jrbtha f smartphone katsstahi9,5.0,positive
xxl mais ca va,4.0,positive
jadore,5.0,positive
douceursouplesse,5.0,positive
pratique merci jumia,5.0,positive
super produit,5.0,positive
tapi zwina taman zwin,3.0,positive
jani zwin m3a lpc 3jbni bzf,5.0,positive
jatni mzyana,5.0,positive
2 en 1,4.0,positive
ras tt vas bien,5.0,positive
nice souris,5.0,positive
zwyn jd,5.0,positive
810 wallah mo9arana bi taman zwina,5.0,positive
merci jumia,5.0,positive
pas mal je peux streamer avec cette ptite piece mm si ya un seul ptit prob c que c seulement 30 fps,4.0,positive
mauvais article mauvais article,1.0,negative
tbien,5.0,positive
best,5.0,positive
'nSH,3.0,positive
koulchi mzyn nadi,5.0,positive
souris optique utile,5.0,positive
pas mal,4.0,positive
bien,4.0,positive
tres bon,5.0,positive
goood,5.0,positive
nade mzyan,4.0,positive
marche sans probleme,5.0,positive
le cable fonctionne bien,5.0,positive
bon produit,5.0,positive
prix correct,5.0,positive
fonctionne parfaitement,5.0,positive
bien,5.0,positive
ra 23pouce kat ban sghira wlkn ra kbiraaaa,4.0,positive
xouf mn lakhr ecran zwin la kanti katkhdm b htmi 7slk t9lb 3la hdmi male ecranport female wla avg female,5.0,positive
bon etat,5.0,positive
medium,4.0,positive
goood,4.0,positive
bien,5.0,positive
khedemto m3a xbox series s perfect,5.0,positive
y`ml bshy ry'`,4.0,positive
nadi o rkhiss howa rah bassah usb 71,5.0,positive
clavier mazyan choukran 3endi lbit tadkhel liha lghobra 3la allah had lblue switch maykhalich lghobra dkhel,5.0,positive
mzyn,5.0,positive
produit top,4.0,positive
satisfaite,5.0,positive
top qualite,5.0,positive
design dyalha zwin mais d3ifa naw3anma chokran la livraison f lwa9et,3.0,positive
toop de toop,5.0,positive
ca marche nickel,5.0,positive
zwina tberkelah,5.0,positive
mmtz wjmyl,5.0,positive
nice,5.0,positive
tapis nadya bnissbal l drari li 3ndhom sens t9ila easy flick mais l3rd dialha 9ssir,5.0,positive
very smooth tol ra twila mais l3ard dialha 4ir 30 cm so chof mzn wach had l3ard dialha aykfik ola la waslatni ana tapis matniya man lwast chwia so 9alaboha mzn mani tawsalkom sf en general raha mzn,4.0,positive
mabihache,4.0,positive
nadeya o kbira,5.0,positive
meilleur prduit du monde,5.0,positive
bon produit tres economie,5.0,positive
bqy jdyd,3.0,positive
mmtz wjyd,5.0,positive
clavier zwin okfif,4.0,positive
produit mzyan ms lmicro fih mochkil bnsba lnas li kaysm3ok dima kayb9a dayr wa7ed sawt fih sda3 lnas li kaysm3ok f discord ola whatsapp audio lproblem kayn fhad serie kamla dial g2000 nas li kaygolo mafihch lproblem rah hir makay5dmoch b discord ola makaydiroch record l voice dialhom bih mohim rah kayn mochkil fih dial micro o ana machi satisfe,3.0,positive
fih ha cable wa7d dyal audio ya3ni f desktop kaykhdem ha sawt lab8iti mic khasek splitter,3.0,positive
mzyer ala ras chwiya mic o sot zuin,3.0,positive
excellent produit,5.0,positive
qualite,5.0,positive
super,5.0,positive
je recommander,5.0,positive
bien,4.0,positive
top du top,5.0,positive
mmtz,5.0,positive
Hsn jd,5.0,positive
ba9a khdama au mzn rir tokel 3llah,5.0,positive
x96 mini,5.0,positive
satisfaite,5.0,positive
bon zrticle,5.0,positive
'nSH,5.0,positive
wslatni la piece lli demandit 3liha machi chi 7aja khara khddama mafiha tta mochkil,5.0,positive
jyd d,5.0,positive
mkyjysh Twrnwvys kym ftSwr,3.0,positive
li bgha idih rah mzyan,4.0,positive
magnifique,5.0,positive
jaime,5.0,positive
produit conforme,5.0,positive
ikhwane ra shy haja nadya waaaaaaaaaaaaa l7waaaaaaaaaaaaaaaaaaaaaaaa,5.0,positive
produit top,5.0,positive
le mic ne fonctionne pas,1.0,negative
casque zwin bzff o mori7 o sot n9i o ta l mic mjhd bnsba ltaman merci jumia,5.0,positive
parfait,5.0,positive
jaime le produit,5.0,positive
effectivement 288gb,5.0,positive
parfait,4.0,positive
bien emballe,3.0,positive
machi chi haja,1.0,negative
hadakchi zwin,4.0,positive
tranchoir pas colle,5.0,positive
ensemble complet,4.0,positive
parfait,4.0,positive
produit de bonne qualite,5.0,positive
il charge lentement mais correcte,3.0,positive
worth it,5.0,positive
khdm mzyn,5.0,positive
,5.0,positive
je recommande,5.0,positive
je suis content,5.0,positive
fait le job,4.0,positive
parfait,4.0,positive
sraha qualite nadya hta fach katchdha mouriha lbotonat mzyanin la hatchriha lgaling sara nshk biha,5.0,positive
zuina ms mkhdamach f les fps games katb9a tr3d chwiya over all not that bad,3.0,positive
le led et le dpi,5.0,positive
souris wa3ra bzafe bkhossos chada dyalha ou led lifiha wa3ra bzaf bsara7a merci jumia,5.0,positive
thwb mzyn,5.0,positive
le produit est correct,4.0,positive
matiere,5.0,positive
merci jumia,5.0,positive
hhh,5.0,positive
610 evaluate,4.0,positive
quantite minimeje deconseille,1.0,negative
st`mltw krt krfyk brwsyswr bq shwy,4.0,positive
parfait,5.0,positive
1,5.0,positive
'dh ry'` bl'l`b Dy'th jyd@ qbl@ lltGyyr kqym@ fhw jmyl ystHq lshr,4.0,positive
`jbt bny,5.0,positive
khdama mziyan o kat3ti power kafiya,5.0,positive
bon kit,5.0,positive
fonctionnelle,5.0,positive
bon vendeur merci,5.0,positive
parfait,4.0,positive
nule ne marche pas,1.0,negative
satisfait mais pas tres resistante,4.0,positive
bon aucun diffus,5.0,positive
wa3r 7sn mntsawr,5.0,positive
khdam mzyan,5.0,positive
parfaite,5.0,positive
merci jumia,4.0,positive
clavier nadi saraha wakha bli kaynin chi buton mafihoumch do bhal lkrin,4.0,positive
zween bzeef fih red switch wa3r w m7kom rbg tahomaz wenin,5.0,positive
cest bon,5.0,positive
le microphone ne function pas il est pas comfortable,1.0,negative
le casque il ne marche pas jessite a me re paye svp,1.0,negative
satisfait,4.0,positive
bon bon,5.0,positive
parfait,5.0,positive
original,5.0,positive
mzyan walakin formatih hit kiji 3amr b bzf dyal 7wayj,4.0,positive
jarebto w khedam bih dakxi lkhfif excel w google w des applications shgar w sara7 khfiif,5.0,positive
parfait,5.0,positive
saraha zwin bzzaf ou khfif bnsba ltaman mzyan bzaaf,5.0,positive
exelent,3.0,positive
ahsan clavier 9al man 150 dh howa hada,4.0,positive
efficace,5.0,positive
,5.0,positive
ca chauffe rapidement,2.0,negative
jaime la qualite,4.0,positive
excellant,5.0,positive
excellent produit,5.0,positive
sot dialo hrban o quality dial l mic nadia,5.0,positive
super produit,5.0,positive
j aime,5.0,positive
casque zwin dyal gaming li bgha ysm3 music bo7dha masal7ch lih,4.0,positive
li bghah bach il3b fps games je le recommende li baghi itmezek bih nonono,3.0,positive
zwin bzaf,4.0,positive
merci jumia,5.0,positive
had lcasque sdamni be qualite dial sound dialo mais lmic d3if masbarch m3aya 20 days,4.0,positive
sawet de3if,3.0,positive
ne fonctionne pas,1.0,negative
tres bon,5.0,positive
souris na9ssa chwya,5.0,positive
sara7a chi 7aja normal mais 9adya l gharad,5.0,positive
parfait,5.0,positive
pas mal,4.0,positive
il est top,5.0,positive
bien,5.0,positive
        ,5.0,positive
pas mal,3.0,positive
,3.0,positive
je recommande,5.0,positive
battery makichedch mezyan kifma dayrin f description sinon pc khedmto n9iya,3.0,positive
cherkaoui gamer,5.0,positive
bon chargeur,5.0,positive
lb's,4.0,positive
Hjm mtwfq mktb,1.0,negative
produit conforme,5.0,positive
khfDw lthmn,1.0,negative
parfait,5.0,positive
quality mzyana,4.0,positive
tre tre bon,5.0,positive
dghya kaykhwa,1.0,negative
il ne convient pas a mon imprimante,1.0,negative
satisfe,5.0,positive
,5.0,positive
comme decrit,5.0,positive
puissant elegant,5.0,positive
,5.0,positive
mntj fshl,1.0,negative
perfect,5.0,positive
meilleur achat,4.0,positive
qualite mzyana mafiha tachi probleme mkhayra ila tapis li 3yana chwiya o sghira mais rah ghi cadeau alors hania,5.0,positive
gooood,4.0,positive
tres bon moniteur,4.0,positive
dont buy it matchriwhce cable 3yan,1.0,negative
extra bien pa mal,3.0,positive
parfait,5.0,positive
pas davies,5.0,positive
ghlid bzzf machi b7al li flphoto kidir sda3 bzzzaaaf machi configure mn lowel khassek tdih 3end lm3alem,3.0,positive
topppppppppppppp,4.0,positive
produit conforme et de bonne qualitee,5.0,positive
zero zero zero matchriwhach,1.0,negative
,3.0,positive
khedam mezian mais mais cable ne support pas resolution kbira,2.0,negative
pas de probleme avec le cable,5.0,positive
poudre de marque et qualite originale,5.0,positive
ry'` jd,5.0,positive
recommande,4.0,positive
je recommande,5.0,positive
qualite au top,5.0,positive
il ne marche pas,1.0,negative
5 star,5.0,positive
cest bon,5.0,positive
nadiiiii,3.0,positive
satisfait,5.0,positive
il y a un leger faux contact il faut sy habituer,4.0,positive
walh ila zwin khadt joje,4.0,positive
merci bcp,5.0,positive
bon tapis,4.0,positive
bon article,4.0,positive
cest plus petit,3.0,positive
ghali bezaaf mo9arana m3a chhal dayr fso9,3.0,positive
meilleur qualite,5.0,positive
bien,5.0,positive
bon,5.0,positive
bonne qualite,5.0,positive
blan mzyan,4.0,positive
fonctionnelle,4.0,positive
pratique,5.0,positive
khedma n9ya,5.0,positive
il est en aluminium il port bien mon pc de 15 pouces,5.0,positive
khdamt bih tablette mkhayra,5.0,positive
jaime,2.0,negative
jatni 3awja,3.0,positive
super,5.0,positive
je recommande,4.0,positive
satisfait,5.0,positive
goodz,5.0,positive
4k hdmi,5.0,positive
jaime,5.0,positive
,4.0,positive
bien conforme,5.0,positive
produit original,4.0,positive
thmn mnsb,5.0,positive
conforme,4.0,positive
produits originaux conformes,5.0,positive
sy double hdmi 2,1.0,negative
cest bon merci,5.0,positive
pas mal,3.0,positive
je recommande,4.0,positive
5 bouton dpi bonne prix tsthl,5.0,positive
matiere friable,4.0,positive
souris nadya,5.0,positive
bone calite,5.0,positive
mauvaise qualite,2.0,negative
je recommande,5.0,positive
nSH,5.0,positive
zwyn@ cute o pratique luuv it,5.0,positive
j adoooore,5.0,positive
tres bn qualite,5.0,positive
parfait,5.0,positive
mtwsT,2.0,negative
tres bon article,5.0,positive
excellente imprimante,1.0,negative
bien merci,5.0,positive
je recommande,5.0,positive
bad,1.0,negative
jaime,5.0,positive
toppppp,5.0,positive
tres bon article,5.0,positive
lby's,3.0,positive
sa marche pas,1.0,negative
qualite mediocre,1.0,negative
ry'` jd,5.0,positive
a bon prix,5.0,positive
kaywsel dikchi nadi,5.0,positive
conforme merci,5.0,positive
merci canon,5.0,positive
canon c est canon,5.0,positive
yd`m lshHn lsry`,3.0,positive
bon artiles,3.0,positive
pas mal acceptable,4.0,positive
l pc 13 pouces zouiiiina ou li bgha idir chi petit sac zayd idir fih chargeur ou souri ana b3da lama dertha l pc kandirha porte documents kandir fiha registre diali oula chi 7aja bach nmchi mnaddma zidou fiha ldakhel chi l3iba antichock ldakhel ra moumkin ttzad 7it hia kattjebbed ou katt9leb,5.0,positive
magnifique,5.0,positive
9adi lgharad,5.0,positive
pas mal,4.0,positive
super bien,5.0,positive
pas mal mais ghalya hado kaydiro 70dh normalement,3.0,positive
pas mal mais pas waw,3.0,positive
falsa publicidad,1.0,negative
rwtr khyb,1.0,negative
ah sa7ara zwin o 5ayb zwin mic o sawt o 5ayb lwadnin kit7aydo bzarba o kidor f wadnin bkatart isti3mal o rali bnasba l jawda dyalo,3.0,positive
zwin bzzf,5.0,positive
c est bien,4.0,positive
pas mall,3.0,positive
bon cable hdmi,3.0,positive
pas mal,4.0,positive
jaime,5.0,positive
je le recommande,4.0,positive
pratique,5.0,positive
pratique,5.0,positive
drbt bih daba chi 6 moi o ba9i nadi,5.0,positive
Hbyt wkshd shrj wlwn Hsn tSrr,5.0,positive
pas mal par rapport du prix kaydwzo 9riba lchi 2h dyal lkhdma lmohim kaydiro khdmthom,4.0,positive
zwiiiin ystahl tamano,5.0,positive
dghya kaytcharjaw kayb9aw charged moda twila dghya kaytconnectaw o interactive m3a finger touches bzrba wlkn sawt chwiya na9s sara7a o kayti7o hint kbar makaydokhloch lwdn bzz,3.0,positive
nDy,5.0,positive
toooop,5.0,positive
bien 0000000000000000,4.0,positive
quality zwina bzaf,5.0,positive
specialiste,5.0,positive
sewet mjehed we zwine saraha mandemtch 3lih,5.0,positive
taman r5is bzaf bnusba l qualite rah 3ndi kter mne 3 mois kayb9a xinrat 3 hour bla maytcharja sot zwin ou wsli drya,5.0,positive
je recommande excellent article,5.0,positive
ry'` jd,5.0,positive
bien produit,5.0,positive
jadore,5.0,positive
jaime,5.0,positive
nadin ki chedou charge ou ki sm3o mzyan,4.0,positive
kaychdo la charge,5.0,positive
bonne qualite,5.0,positive
zwiniiiiin,5.0,positive
bon article,5.0,positive
lhrba,5.0,positive
bon prpduit,5.0,positive
je deteste,1.0,negative
0 khaybin la sawt la walo kay t9ta3 sot fihom,1.0,negative
parfait,5.0,positive
top,5.0,positive
pas mal,3.0,positive
produit conforme,5.0,positive
excellente qualite sonore,5.0,positive
sawt mzyan walkin chargeur ga3ma khdam,3.0,positive
batterie top,4.0,positive
wa3r bzaf,5.0,positive
rapport qualite prix bon,4.0,positive
sot machi tal tma,3.0,positive
3jboni sawt fihom zuin khodohom,5.0,positive
bien,5.0,positive
nqSyn,3.0,positive
bon,4.0,positive
pas male,5.0,positive
ghali l9ito ghir b 850,1.0,negative
kayt9ata3 mara mara manha sot walakin 3la 3omom zwinin kay9diw kharad,3.0,positive
bien,5.0,positive
wa3er had l produit ghi li mabghach,5.0,positive
mauvaise,2.0,negative
moyen,3.0,positive
parfait,5.0,positive
a recommander,4.0,positive
je recommande,5.0,positive
ergonomique,5.0,positive
pas mal,4.0,positive
fiha mic ne9i,5.0,positive
bien,5.0,positive
bien,4.0,positive
li rassha sghir aybqaw chwuiya mrkhofin ou kissm3o le li hdak,3.0,positive
stereo 25 bass 45 audio calls 45 comfort 55 material 35,4.0,positive
m9wdin gha howa 58 li wslatni wlkn rah nadin,5.0,positive
magnifique,5.0,positive
bon,3.0,positive
qualite camera la 3ala9a wmafihch fast charge wkaydecharja bzarba k telephone la3ala9a,5.0,positive
tooooop,5.0,positive
nimporte quoi,1.0,negative
zwin tawssil rapide o li kay9oul 3lih khayeeb raah dak chi li baghi nta machi hada howa tamano,5.0,positive
zwina bezafff merci jumia,5.0,positive
b's,3.0,positive
magnifique,5.0,positive
jaime,5.0,positive
volume insuffisant,3.0,positive
tres correct comme son,4.0,positive
pas mal,3.0,positive
parfait,5.0,positive
jyd jd,5.0,positive
blan,4.0,positive
bon prix bon qualite,3.0,positive
zwiiin,5.0,positive
le style,5.0,positive
jaime ca,5.0,positive
pas mal,2.0,negative
merci jumia,5.0,positive
mzyanin 910,4.0,positive
super,5.0,positive
jaime,5.0,positive
pas mal,4.0,positive
tres bon rapport qp,5.0,positive
pas mal,5.0,positive
excellent produit,5.0,positive
pas mal,2.0,negative
mauvaise affaire tkharbi9a,1.0,negative
makhsch ykoun fiha lkhbachi wmakhsch t3waj,3.0,positive
utile,5.0,positive
,5.0,positive
010,1.0,negative
mzyanin,4.0,positive
kima li ftswira,5.0,positive
jmyl,4.0,positive
kiched la charge,5.0,positive
zwin bzaaaaaf,5.0,positive
zwiiiin,5.0,positive
joli pour le prix,3.0,positive
top,5.0,positive
yes,3.0,positive
ry'` jd,5.0,positive
mzyanin,5.0,positive
telefone zwin,4.0,positive
rapport prix qualite,5.0,positive
zwynyn,5.0,positive
sghar bzaf apparemment la photos o description,1.0,negative
`jbwny,4.0,positive
satisfait,5.0,positive
hssen mn tswira produit naddy,5.0,positive
smart watch zwina o bhal apple watch kima la photo o jaw m3aha les 2 bracelet merci jumia,5.0,positive
pas mal,3.0,positive
mmtz wmndwb jwmy mmtz,5.0,positive
zwinin o forma dyalhom sghar chwia,5.0,positive
zwinin walakin machi bzaf walakin m9belin kayls9e,4.0,positive
superr,5.0,positive
hosto p,5.0,positive
zwinin,5.0,positive
excellent produit,5.0,positive
pas ouf,3.0,positive
qualite,5.0,positive
bien confor,4.0,positive
mselek mo9arana batman manense7 bih,3.0,positive
`mly,1.0,negative
tbt,2.0,negative
mzyanin,4.0,positive
mfyd jd,5.0,positive
r9a9 ou mzyanin l l3b,5.0,positive
les ecouteurs dyal 30dh hsan mn hado bzaaf sot naqf bzaaf e si jatek shi appelle mic mkisama3 walo,1.0,negative
qualite 0,1.0,negative
bnisba li charje kaib9awo fi music wla film 2 heurs wa boite katcharjihom ghir 3 fois,5.0,positive
quality,5.0,positive
bon article,5.0,positive
cest bon,4.0,positive
bien,4.0,positive
pas mal,4.0,positive
,5.0,positive
dak chi mazin khadam lah 3atikom saha,5.0,positive
vendeur fiable produit intact configuration exacte foncez,5.0,positive
`mly ry'`,4.0,positive
tele zwin dyal salak rak tma o safe,5.0,positive
ras,4.0,positive
carte memoire top rien a dire,5.0,positive
mabih,3.0,positive
kima f sora okhdamin mzeyan had sa3a jaime tres bien,5.0,positive
,5.0,positive
syy' jd,1.0,negative
zwin kaysbar 12h and supported hi fi,4.0,positive
ya9dar yatharas lik ila maraditich lih lbal mohim zwin kay adi lwajib,3.0,positive
pas malle,3.0,positive
ne lachetez pas,1.0,negative
bon produit,5.0,positive
khdam mzyan knch3l bih router b powerbank khdam mzyan,5.0,positive
super,5.0,positive
nymymny,5.0,positive
qualite d plastique 3iyana o sot kawsl t9iil,1.0,negative
mqbwl,3.0,positive
zwinin kaysm3o mzyn,4.0,positive
autocollants divers bonne qualite,4.0,positive
medium quality,3.0,positive
radio hors service,3.0,positive
qualite mediocre,3.0,positive
mzyanin,1.0,negative
impression bas de gamme et vinyle bas de gamme,3.0,positive
they arent much of a sanrio character,4.0,positive
top top top,4.0,positive
nadii,5.0,positive
ww,5.0,positive
nadii bezaf mercii,5.0,positive
top top top,5.0,positive
mnsb shkr,4.0,positive
pratique,4.0,positive
bonbon,5.0,positive
kytnfkh,2.0,negative
mabihax,3.0,positive
tbarkellah 3likomkolvhi mzn,4.0,positive
jaime,5.0,positive
sot na9s xwiya w charge dghya kaymxi w m3a ka7la makat3rfx wax kaytchargaw wla la,1.0,negative
mzyn w mzynyn,5.0,positive
super produit,5.0,positive
qualite a revoir,2.0,negative
jaime vraiment,5.0,positive
peu maniable,3.0,positive
mkhyr wrkhyS,4.0,positive
zwyyyyn,5.0,positive
il fonctionne super bien,5.0,positive
je valide,5.0,positive
nul ne fonctionne pas,1.0,negative
ah oui kaywsal m3ah l batterie dyalo et khdam wakha tba3d b 2m,5.0,positive
zwinin,4.0,positive
bon son,5.0,positive
produit non authentique mais qualite acceptable,3.0,positive
chokran,5.0,positive
pratique pratique,4.0,positive
pratique,5.0,positive
pas comme photo,2.0,negative
produit top,5.0,positive
kadi lgharad power bank o demareur dial batterie dimarit bih tonobile bla hta mochkil,5.0,positive
`mly jd jd,5.0,positive
bon,5.0,positive
conforme,5.0,positive
amazing,4.0,positive
jaime,5.0,positive
ry'`,5.0,positive
kits mzian khdamin f iphone nadyin highly recommended,5.0,positive
pas mal,2.0,negative
parfait,5.0,positive
woooow,5.0,positive
nadyin,5.0,positive
je le recommande,5.0,positive
mzyaaan,5.0,positive
excelent,5.0,positive
resemble a la description,5.0,positive
merci,5.0,positive
zwiin bzzzzzzf,5.0,positive
merci,5.0,positive
original,5.0,positive
katchad la charge ozawina fchkal,5.0,positive
correspond parfaitement,4.0,positive
Hjm wshkl,5.0,positive
bien,3.0,positive
rir mkalda machi aslaya,1.0,negative
pas mal,3.0,positive
magnifique,5.0,positive
ok bien,5.0,positive
thank youuu i love it,5.0,positive
zwin walakin ghali 3la tamano fblays akhrin,4.0,positive
merci bouceau,5.0,positive
le graphique,5.0,positive
satisfait,5.0,positive
7sen men flosso,5.0,positive
bien compatible,4.0,positive
mntj mdhsh,5.0,positive
super cela marche super le service rapide et efficace,5.0,positive
bien,5.0,positive
bon jeux,5.0,positive
un bon livreur,5.0,positive
bon produit,4.0,positive
impecable,5.0,positive
howa mzyan bnisba ltaman dialo ou chkel dialo zwin,5.0,positive
rj3atni l ayam tofola,5.0,positive
parfait,5.0,positive
produit conforme,5.0,positive
mantouj toop,5.0,positive
khdama mzian mes ghir les manettes li kikono machi original,5.0,positive
jyd wry'`,3.0,positive
bonne livraison,1.0,negative
bon produit,4.0,positive
impecable,5.0,positive
cest pas loriginal mais il est semblable,4.0,positive
produit conforme,5.0,positive
jrbh,1.0,negative
bon jeux,5.0,positive
b1 tttttt,5.0,positive
merci jumia,4.0,positive
bon produit,4.0,positive
impecable,5.0,positive
,5.0,positive
tres contente,5.0,positive
mmt` jdy,5.0,positive
thank you jumia on express delivery,5.0,positive
bon jeux,5.0,positive
bon produit,4.0,positive
impecable,5.0,positive
kolchi mzyan,4.0,positive
jaime,5.0,positive
bon,5.0,positive
bonne manette,5.0,positive
rater lanniversaire dun jour,4.0,positive
ok ras,5.0,positive
